Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$64K-$106K (Glassdoor est.),"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
Associate Business Intelligence Data Scientist,$64K-$106K (Glassdoor est.),"Blending customer advisory, customer support, and customer experience, Carousel’s supercharged Customer Success Obsessed mission goes beyond any one IT function. Rather, it’s a mindset, a mantra, and a company-wide drive to bring extreme technology value to Carousel customers—so they can bring value to theirs.
With deep expertise across a vast portfolio of technologies, including security, unified communications and collaboration, data center, networking, managed services, and cloud solutions, Carousel can design, implement, and support solutions tailored to meet the unique needs of each customer. By offering professional and managed services with flexible deployments in the cloud, Carousel ensures customers achieve agility and use technologies in the way most effective for their business.
A legion of 1,300, the Carousel team has been committed to the art of customer success for its more than 6,000 highly satisfied customers since 1992. The company has been recognized by multiple publications and industry consortiums as a top technology integrator and managed services and cloud solution provider—including the Inc. 500/5000, Healthcare Informatics 100, and CRN MSP Elite 150. Headquartered in Exeter, RI, the company has offices across the United States and internationally—with three Network Operations Centers. To learn more, visit CarouselIndustries.com.

Position Summary:
The Associate Business Intelligence Data Scientist is responsible for leveraging large quantities data to assist executives, business partners, and employees to make data-driven decisions. This position will focus largely on defining data relationships (inclusive of off-system spreadsheets), data mining and data modeling which will be the basis for actionable intelligence dashboards and reports. The Associate BI Data Scientist will utilize their experience to explore data, applying statistical techniques, and designing dashboards and reports that provide value to the company and its people. This position will collaborate with BSO Infrastructure and Systems Teams along with other subject matter experts to evolve a robust reporting universe that is streamlined and transparent. The Associate BI Data Scientist will report to the Director, Business Process and Continuous Improvement and join a highly agile cross-functional team that leads some of the most critical projects for the BSO department and Carousel Industries as an organization.
Essential Duties and Responsibilities:
Provide descriptive data analysis, and creative problem-solving using SQL programming language
Lead projects regarding data exploration, relationship management and data-driven story telling
Ability to create practical, actionable plans that are coherent and understood by stakeholders
Partner with BSO teams, business, and functional groups to provide actionable intelligence regarding operational effectiveness and revenue growth
Gather, manipulate, and explore large datasets to test hypotheses and extract useful insights
Create and manage reporting, data narratives, and analytics deliverables for the CI Governance board and committee
Build innovative data models, reports and dashboards
Troubleshoot data conflicts and inconsistencies through data mining and collaboration with the business teams
Evaluate and develop data monitoring reports to provide further insight into process and change management
Develop roadmaps with proposed solutions from an end-to-end perspective
Partner with clients to promote evidence-based decision-making and devise action plans that influence behavior changes
Investigate and create trend analysis models to promote operational effectiveness

Qualifications:
B.S. in a quantitative field required, or minimum of 2 years related experience.
Experience in financial and/or sales driven data modeling is a plus.
Demonstrated analytical, troubleshooting, and problem-solving skills.
Business Process Mapping exposure.
Attention to detail and ability to deliver and support a quality service experience.
Experience presenting in front of small to medium group environments.
Demonstrated experience with industry report writers such as Power BI, Tableau, Business Objects SSRS, or other BI reporting solutions.
Experience with basic to intermediate level coding in statistical programming languages. R and or Python preferred.
Experience with Salesforce, ServiceNow, Sage Intacct preferred.
Experience with writing/updating basic to intermediate (SQL) queries.
Strong problem-solving skills.
Superior verbal and written communication skills.
Ability to organize and prioritize concurrent projects.
Ability to work independently and collaboratively.
Create, maintain, and optimize reports, including SQL statements, views, functions, and stored procedures.
Effectively gather requirements and design new reports, troubleshoot, research, and correction of reports and database objects requiring review.
Accurately estimate effort for requested custom reports.
Carousel Industries is an Equal Opportunity Employer: Carousel provides equal employment opportunity to all employees and applicants for employment free from unlawful discrimination based on race, color, religion, gender, age, national origin, disability, veteran status, marital status, sexual orientation or any other status or condition protected by local, state or federal law.",3.2,"Carousel Industries
3.2","Exeter, RI","Exeter, RI",1001 to 5000 employees,1992,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),-1
"Scientist, Population Genomics",$64K-$106K (Glassdoor est.),"WuXi NextCODE is seeking a motivated Scientist in Population Genetics to serve as a primary contact for new and existing life science partners. In this capacity he/she is responsible for applying genomic analysis tools to gain insights into clinicogenomic data sets (such as the UK Biobank) for common diseases. Prior experience with NGS data analysis is essential to enable the translation of questions of complex disease biology into our analytical workflows for the identification of drug targets, biomarkers and patient stratification.

This is an exciting position that allows you to interact directly with our life science partners to help them implement NGS analysis workflows and arrive at meaningful insights that have real-world impact. You will leverage your deep scientific knowledge to identify customer challenges and map them to WuXi NextCODEs products and services. This effort will be supported by your collaboration across internal teams from Applied Research, Bioinformatics, Informatics, and Data Science & AI.

Essential Functions

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Engage in scientific discussions with internal teams and external partners to provide scientific expertise for hypothesis generation, study design and data analysis of large scale clinicogenomic data sets.
Serve as the scientific/technical expert point of contact for prospective and existing partners; and identify opportunities to strengthen the scientific collaboration throughout the course of the project.
Apply statistical genetic/genomic approaches to integrate and analyze phenotypic and genomic data with the ultimate aim to identify/validate potential therapeutic targets and biomarkers.
Prepare and deliver original scientific content for proposals, white papers, and publications; and present scientific findings at conferences, in webinars and other thought leadership engagements that showcase the WuXi NextCODE genomic analysis approach and tools.
Effectively communicate complex scientific concepts to a wide-range of audiences with varying levels of expertise both internal and external to the organization.
Skills and experience

The successful candidate will be a results-focused, team-oriented, creative scientist, able to excel in a fast-paced environment. He or she must be self-motivated, detail-oriented and exhibit strong problem-solving skills. In addition, the successful candidate should be a clear and effective communicator, demonstrating strong interpersonal skills to enable collaboration with project teams, peers, management and external partners.
Experience in target discovery and validation pipelines preferred.
Strong statistical programming skills in languages such as R or Python.
Hands on experience with genomic pipelines, quality control procedures, and toolsets.
Ideal candidate is familiar with statistical genetics approaches to large scale genomics (PLINK, GWAS, PheWAS).
Experience applying novel approaches to integrating multi-omic data-sets (e.g., phenomic, genomic, transcriptomic, epigenomic)
D. in genetics, molecular biology or another relevant field preferred.",2.9,"Carousel Industries
3.2","Cambridge, MA","Cambridge, MA",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Analyst II,$64K-$106K (Glassdoor est.),"The Data Analyst II is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.

WORK PERFORMED

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Essential Functions of the Job:

Product Data – Responsible for managing product information levels to established standards
Maintain data to meet company standards
Data includes images, technical specifications and other data elements
Ensure automated data feeds successfully populate materials
Manually populate non-automated data as necessary via proprietary system
Identify system enhancements to improve automated processes and quality of information
Perform audits to ensure accuracy of assigned manufacturers or categories
Communicate with providers and manufacturers to ensure complete product data is supplied
Request necessary information
Identify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories
Implement data standard improvements through manual and automated means to meet needs
Provide customer service support for both external and internal customers
Support and validate teammate adherence to master data policies.
Material Maintenance – Responsible for maintaining product catalog to established standards; Performing Price File Maintenance
Review automated data feeds for successful materials creation
Ensure materials are created correctly via download process
Identify and communicate reasons for automated failures to improve process
Manually process download failures
Determine if Sales requests meet Insight Catalog Policy
Review opportunities and determine if it is appropriate business for Insight
Provide guidance to address future opportunities
Ensure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy
Create materials via proprietary systems and/or SAP
Determine appropriate source, costing and categorization
Process internal requests for creation
Discontinue materials that are no longer available and/or based on company policy
Other projects – Responsible for completing additional projects and assignments as required by the department
All other assigned duties
MINIMUM REQUIREMENTS

Education and/or Experience:

Associates degree or above from a college or university; or 3 years industry work experience.

KNOWLEDGE, SKILLS, AND ABILITIES

Following are the skills, knowledge and abilities necessary to perform this job
Advanced spreadsheet skills
Ability to analyze and troubleshoot information for resolution
Ability to work well in cross-functional teams
Ability to multi-task in a fast-paced environment
Ability to meet aggressive service-level agreements
Ability to take a complex process or technology and create easy-to-follow copy
Excellent written and verbal communication, with strong editing skills
Knowledge of AP style
Vast knowledge of technical writing and styles associated with it
Collaborating with marketing and IT on search engine relevancy as it relates to parts data’s influence
Proficiency with MS Word, Excel, Outlook and SAP.
Ability to write reports and/or business correspondence.
Ability to effectively present information and respond to questions from groups of managers, customers, other employees.
Ability to effectively present information to other departments and manufacturer representatives.
Ability to read, analyze, and interpret business documents.
Ability to effectively communicate via email, phone and in person.
Ability to understand processes and identify areas of improvement.
Ability to multi-task and demonstrate strong organizational details.",4.2,"Insight Enterprises, Inc.
4.2","Plano, TX","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International"
Sensory Scientist,$64K-$106K (Glassdoor est.),"A leading food production company in St. Louis is looking for a Sensory Scientist with food sensory research experience. In this role you will work on sensory development teams to develop, present, and report tests on new and improved products.
This is a full time direct hire opportunity, and the company is offering an excellent salary package, outstanding benefits, and an onboarding signing bonus for those relocating to St. Louis.
YOUR ROLE:
Design and carry out food sensory tests to industry standards, by working with sensory staff and descriptive panelists.
Develop and recommend new test methodologies to improve product understanding.
Define sensory objectives and recommend testing strategies to support program objectives.
Analyze sensory data and write comprehensive reports for project leaders detailing results and conclusions.
Present test results and interpretation to project leaders.
Assist in the development of program research objectives.
Recommend panelist training where needed to ensure accuracy/precision.
REQUIREMENTS:
Bachelor’s Degree or higher in a scientific or engineering field.
At least 4 years in Food Sensory research.
Experience in sensory analysis of food materials, such as enzymes, stabilizer systems, hydrocolloids, probiotics, or meat analogs.
Experience working with trained descriptive panels, using the Spectrum method and/or QDA methodology.
Experience in applied statistics, method development, and product development.
Experience in training and maintaining a sensory profiling panel and industry standard consumer testing methodologies, statistical analysis of sensory data and associated data from other sources.
Knowledge of Sensory Science, with experience in Sensory Descriptive Profiling.
Working knowledge of applied statistics.
Excellent computers skills, especially MS Excel.",3.8,"NIC Infotek
3.8","Saint Louis, MO","Tampa, FL",51 to 200 employees,2004,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
Quality Control Scientist,$64K-$106K (Glassdoor est.),"Position Summary:

The Quality Control Scientist will provide oversight of contract analytical labs and manufacturers. This includes, review of analytical data from release and stability studies and review of method validation protocols and reports. The candidate should have a strong understanding of cGMPs and relevant ICH and FDA regulatory guidelines. Prior hand-on experience working in a QC lab and thorough understanding of root cause analysis for investigations is required. This position will interact and work closely with cross-functional teams, including, manufacturing, quality assurance and regulatory.

Responsibilities:
Review analytical data packages generated during GMP release/stability testing of drug substance and drug product at the contract manufacturing sites
Assist in investigations and formulate a plan to identify/confirm root cause for anomalous results
Write and/or review method validation and transfer protocols and reports
Write and/or review protocols and reports related to stability studies as well as prepare tables summarizing results from stability studies
Track and trend release and stability data for batch analysis and shelf life establishment
Initiate change control for internal specifications and regulatory documents
Evaluate and perform risk assessment for change control documents provided by the contract manufacturing sites
Manage reference standard program for drug substance, impurities and degradants
Qualifications:
B.S. or M.S in analytical chemistry or related scientific disciplines with 5+ years of experience in analytical development with minimum of 3+ years of experience in quality control
Skills, Knowledge & Abilities:
Hands-on proficiency and problem-solving skills with chromatographic techniques e.g. HPLC, UPLC and GC. Familiarity with mass and UV/VIS spectroscopic techniques is an advantage
Prior experience in interacting with contract labs and manufacturing sites is a plus
Hands-on experience with method validations and transfers in support of pharmaceutical manufacturing
Proficiency in performing root cause analysis for investigation
Experience with iStability software is a plus
Passion for learning, creating, relating, communicating, and leading cross functional teams
Excellent verbal and written communication skills
Experience in a start-up environment preferred
Must be pro-active team player, flexible, and open to change
Working Conditions: Will work from the Company’s San Francisco Bay Area office, with additional travel as required to oversee the virtual development and manufacturing network (estimated at 25%).

Physical Demands and Work Environment:

This is largely a sedentary role; however, some filing is required. This would require the ability to lift files, open filing cabinets and bend or stand on a stool as necessary.

This job operates in a professional office environment and routinely uses standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines.

Benefits and Perks:

Apellis offers a great benefit package which includes: health insurance with full premium coverage, 401K with company match, paid time off (PTO), long- term disability insurance, life insurance and more! Visit http://apellis.com/careerbenefits.html to learn more.

Company Background:

We are a clinical-stage biopharmaceutical company focused on the development of novel therapeutic compounds to treat disease through the inhibition of the complement system, which is an integral component of the immune system, at the level of C3, the central protein in the complement cascade. We believe that this approach can result in broad inhibition of the principal pathways of the complement system and has the potential to effectively control a broad array of complement-dependent autoimmune and inflammatory diseases.

Visit http://apellis.com/about.html to learn more.

#LI-CB1",4.0,"Apellis Pharmaceuticals
4.0","San Francisco, CA","Waltham, MA",201 to 500 employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Analytics Engineer,$64K-$106K (Glassdoor est.),"Analytics Engineer-Administration
Summa Health System
Full-time, w/benefits

Summa Health System is recognized as one of the region’s top employers by a number of third party organizations, including NorthCoast 99. Exceptional candidates gravitate to Summa because of its culture, passion for delivering excellent service to our patients and families commitment to our philosophy of servant leadership, collegial working relationships at every level of the organization and competitive pay and benefits.

Summary:
Works with a team of technologists (Data Engineers and Visualization Engineers) to deliver insights across various aspects of Summa Health’s operational, financial, and clinical activities with the goal of leveraging data to drive and realize the full potential of the organization’s programs.

Minimum Qualifications:

Formal Education Required:
-Bachelor’s degree in computer science, applied mathematics, statistics, or related discipline

Experience & Training Required:
-Five (5) years of experience in a previous analytics role in healthcare domain involving healthcare data analysis to optimize business operations
-Knowledgeable about the workings of integrated healthcare systems, health plan, research, and community programs
-Experience in analyzing healthcare data using statistical methods to optimize business operations and communicating their findings using data visualization and detailed reports

Other Skills, Competencies and Qualifications:
-Analytical mindset with good problem-solving skills
-Excellent written and verbal communication skills
-Acumen for analytics needs of an integrated health system how to use data to achieve those needs.
-Ability to effectively interact with populations of patients/customers with an understanding of their needs for self-respect and dignity
-Ability to summarize results and develop effective business presentations.
-Ability to interact with populations both technical and non-technical, with an understanding of their needs for self-respect and dignity
-Strong, critical thinker with ability to extend knowledge of information systems and applications to business processes and to cross team collaboration. Ability to explain complex, technical concepts to lay audiences and non-IT staff.
-Basic knowledge of data warehousing, data marts
-Experience with one or more Summa application platforms is desirable including Soarian Financials, DSS, HQ/HI, Epic/CarePATH and tools (RWB, Clarity, Caboodle, Radar, SlicerDicer, Registries), CostFlex, e-ClinicalWorks, GE Centricity, Lawson, Pentaho, SAS, Tableau.

1. Work with senior leaders within a line of business and across the enterprise to establish a measurement plan focused on outcomes
2. Work as a data strategist to identify and integrate datasets, data components, and attributes from various information systems to leverage information for business programs and objectives
3. Communicate, advise senior leaders about utilizing all relevant data, including clinical, operational, exposome, social determinate, economic and financial, to drive programmatic growth and achieve strategic outcomes
4. Gather baseline data information to understand current state and improvement opportunity
5. Identify data requirements based on analytical processes to measure the outcomes
6. Conduct descriptive/statistical analysis of the data set to validate hypothesis
7. Define the business requirements / specifications and user interface (Wireframes and Mockups)
8. Work with other members of CoE to develop mission control dashboards that measures the timely performance to outcome
9. Validate, deploy mission control dashboards
10. Educate Mission end users and advocate adoption of analytical tools
11. Support rolling out new insights, which are a result of discovery and exploratory exercises conducted, by citizen data analysts / scientists.
12. Ensuring that mission control insights remain relevant to achieving the desired outcome
13. Confirming that stakeholders are utilizing mission control in pursuit of that outcome
14. Surfacing new insights to drive continuous improvement
15. Communicate findings to stakeholders; implement improvement efforts as needed.




Level of Physical Demands:
Light: Exerts up to 20 pounds of force occasionally and/or up to ten pounds of force frequently, and/or a negligible amount of force continuously.
#LI-AV1",3.7,"Summa Health System
3.7","Akron, OH","Akron, OH",5001 to 10000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Analytics Consultant,$64K-$106K (Glassdoor est.),"SpringML is seeking an Analytics Consultant to augment our Salesforce delivery practice. You will play a critical role in our client engagements using the Tableau and the Salesforce Analytics Cloud platform (Einstein Analytics, Einstein Discovery, and the Einstein Platform). You will design and implement highly customized solutions for our customers business problems, typically across multiple functions of a customers organization through data integration, visualization, and analysis.

RESPONSIBILITIES
Ability to work as a member of a team assigned to design and implement solutions for our customers.
Data analysis skills to conduct analysis and deliver recommendations to the team and customer.
Dashboard and Dataset development develop dashboards and datasets that meet and exceed customer requirements.
Presentation skills demonstrated ability to simplify complex situations and ideas and distill them into compelling and effective written and oral presentations.
Learn quickly ability to understand and rapidly comprehend new areas, functional and technical, and apply detailed and critical thinking to customer solutions.
QUALIFICATIONS
B.S. or equivalent degree in computer science, statistics, mathematics or other relevant fields.
0 3 years of experience in business analytics, data science, or consulting in these fields.
1+ year experience with Salesforce or Tableau preferred.
Previous experience using Salesforce Einstein Analytics or Einstein Discovery a plus.
Candidates holding certifications in either Tableau or Salesforce will receive priority consideration.
Experience or equivalent coursework using statistics for data analysis with an understanding of, at a minimum, multivariate regression.
Strong understanding of query languages and basic understanding of programming languages; experience with Python, R, Java, or Apex a plus.
Powered by JazzHR",4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Engineer,$64K-$106K (Glassdoor est.),"Secure our Nation, Ignite your Future

This position will report to the Group CTO and be part of the technology office staff. You will be supporting an internal big data analytics application that will be hosted on a cloud platform. You will have prior experience working in an agile/DevOps environment. You will have the opportunity to work with some of the newest technologies, transformative projects, and play a strong role in shaping the innovation agenda across the company.

Essential Job Duties:
Provide database design, development and implementation support
Participate in daily scrum meetings and support development team
Work with customers and team members in an Agile development environment
Follow Continuous Integration/Continuous Delivery (CI/CD) best practices for code build and deployments
Develop PL/SQL, stored procedures, ETL scrips to support this analytics application
Document database design and develop optimum data ingest techniques from multiple data sources
Minimum Requirements:
Minimum Requirements: Bachelors Degree in Computer Science, IT or related field & minimum 5-7 years of QA experience
Minimum experience of 5 years with relational databases such as Oracle, SQL Server, Sybase, RedShift
Minimum 3+ years of experience with ETL technologies
Additional skills:

Experience using Jira, Git, Confluence, Knowledge and understanding of big data technologies like Hadoop, Hive, etc., Ability to handle stress and work well under pressure, Ability to use MS Office, Experience with cloud technologies, Analytical and Critical Thinking Skills, Interpersonal and People Skills, Leadership Skills, Listening Skills, Multitasking Ability, Oral and Written Communication Skills, Organizational Skills

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Herndon, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
Data Analyst,$64K-$106K (Glassdoor est.),"FrankCrum Staffing, founded in 1981 and headquartered in Florida, reduces the time and expense their clients spend on recruiting by finding and placing highly qualified candidates for businesses. Specializing in contract, contract-to-hire, and direct placements, FrankCrum Staffing combines personal care and technology to serve employers and job seekers in industries such as finance and accounting, light industrial, engineering, administrative, and information technology.

FrankCrum's IT Staffing Solutions Department is seeking an experienced Data Analyst for one of our premier clients' we provide IT Solution's for. If you're open for a new career opportunity and enjoy a great work-life balance and a positive upside to your career please review the details and apply!

Corporate Office Location: Tallahassee, FL

Data Analyst:

Responsibilities:
Develop analysis and reporting metrics, while ensuring the performance and quality control through proper monitoring
Identify improvements, conduct analysis through requirements
Create the proper documentation from activities and design for reporting
Analyze data and final results using statistical methods through ongoing reporting
Research, identify, and analyze possible trends in complex data sets
Acquire data through various data sources while keeping accurate reporting systems
Ability to work with various business lines and management while maintaining proper prioritization through business needs
If any necessary or new process improvement needs to be addressed or located, bringing the ability to identify
Skill and Qualifications:
BS in Mathematics, Economics, Computer Science, Information Management or Statistics, or an equivalent amount of Data Analytics experience.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Report writing, communication skills, clear presentations of data
FrankCrum is an equal opportunity employer prohibiting discrimination on the basis of race, color, sex, age, religion, national origin, disability, marital status and any other characteristic protected by local, state or federal law.",3.5,"FrankCrum Staffing
3.5","Clearwater, FL","Clearwater, FL",51 to 200 employees,1981,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1
